feature,pct_missing,n_unique,mean,std,n_pairs,corr_with_target,corr_BND,corr_VTI,corr_VXUS
abs_drift,0.0,751,0.6789,0.5322,690,0.689,0.8651,0.2734,0.6564
abs_drift_rel,0.0,751,3.7448,4.3977,690,0.6206,0.8651,0.2734,0.6564
drift_chg_1,0.4,750,-0.0,0.1118,687,-0.0096,-0.051,-0.0577,0.0374
drift_chg_5,1.99,738,-0.0,0.2319,675,-0.0228,-0.0913,-0.1291,0.082
drift_slope_21,7.97,693,0.0,6.0407,630,-0.1084,-0.2395,-0.3866,0.1565
ret_1,0.4,741,0.0005,0.0079,687,-0.0255,-0.0508,-0.082,0.0062
vol_21,8.37,690,11.2464,6.554,627,0.0363,0.5665,-0.2266,0.2464
eq_bond_spread_21,8.37,230,22.0889,36.4763,627,0.0545,0.2664,-0.1741,0.0334
ticker_VTI,0.0,2,0.3333,0.4717,690,-0.3598,,,
ticker_VXUS,0.0,2,0.3333,0.4717,690,0.2165,,,
ticker_BND,0.0,2,0.3333,0.4717,690,0.1434,,,
drift_slope_63,24.7,567,0.0,3.5725,504,-0.0011,-0.2456,-0.2813,0.4174
ticker_target,0.0,3,0.3333,0.2056,690,-0.3134,,,
close_was_filled,0.0,1,0.0,0.0,690,,,,
